problem,dim,seed,init_method,opt_method,best_target,best_eval,best_n_iter,best_delta,init_time,opt_time
bbob_f001_i01_d02,2,3,random,ga,79.48,85.96164004735863,1000,6.481640047358624,0.002248525619506836,1.4704153537750244
bbob_f001_i01_d02,2,3,random,de,79.48,85.66397920216485,1000,6.183979202164849,0.002248525619506836,0.6727273464202881
bbob_f001_i01_d02,2,3,random,pso,79.48,80.3628575526448,1000,0.8828575526447935,0.002248525619506836,0.498793363571167
bbob_f001_i01_d02,2,3,random,gwo,79.48,79.48000007468916,254,7.468915441677382e-08,0.002248525619506836,0.2947425842285156
bbob_f001_i01_d02,2,3,random,egwo,79.48,79.48000006924661,170,6.924661022367218e-08,0.002248525619506836,0.08313274383544922
bbob_f001_i01_d02,2,3,lhs,ga,79.48,79.48072589288425,1000,0.0007258928842475143,0.1207125186920166,1.5091242790222168
bbob_f001_i01_d02,2,3,lhs,de,79.48,79.48000131732731,1000,1.317327303240745e-06,0.1207125186920166,0.6827750205993652
bbob_f001_i01_d02,2,3,lhs,pso,79.48,79.480000090475,47,9.047499816006166e-08,0.1207125186920166,0.02399921417236328
bbob_f001_i01_d02,2,3,lhs,gwo,79.48,79.4800000255465,196,2.5546498250150762e-08,0.1207125186920166,0.2249288558959961
bbob_f001_i01_d02,2,3,lhs,egwo,79.48,79.48000003845199,20,3.8451986483778455e-08,0.1207125186920166,0.010118722915649414
bbob_f001_i01_d02,2,3,sobol,ga,79.48,79.48022102633634,1000,0.0002210263363338072,0.01000213623046875,1.513547658920288
bbob_f001_i01_d02,2,3,sobol,de,79.48,79.48000296707824,1000,2.967078231108644e-06,0.01000213623046875,0.6771600246429443
bbob_f001_i01_d02,2,3,sobol,pso,79.48,79.48000006882452,47,6.882451941692125e-08,0.01000213623046875,0.024004459381103516
bbob_f001_i01_d02,2,3,sobol,gwo,79.48,79.48000003310187,345,3.310186968974449e-08,0.01000213623046875,0.3921623229980469
bbob_f001_i01_d02,2,3,sobol,egwo,79.48,79.4800000868163,18,8.681629992679518e-08,0.01000213623046875,0.009000778198242188
bbob_f001_i01_d02,2,3,obl,ga,79.48,85.96164004735863,1000,6.481640047358624,0.0029993057250976562,1.465515375137329
bbob_f001_i01_d02,2,3,obl,de,79.48,85.66397920216485,1000,6.183979202164849,0.0029993057250976562,0.964754581451416
bbob_f001_i01_d02,2,3,obl,pso,79.48,80.3628575526448,1000,0.8828575526447935,0.0029993057250976562,0.8267171382904053
bbob_f001_i01_d02,2,3,obl,gwo,79.48,79.48000007468916,254,7.468915441677382e-08,0.0029993057250976562,0.4055173397064209
bbob_f001_i01_d02,2,3,obl,egwo,79.48,79.48000006924661,170,6.924661022367218e-08,0.0029993057250976562,0.10774707794189453
bbob_f001_i01_d02,2,3,oblesa_ess,ga,79.48,80.02829832200109,1000,0.548298322001088,5.039491653442383,3.5142340660095215
bbob_f001_i01_d02,2,3,oblesa_ess,de,79.48,79.48001323084047,1000,1.3230840465894289e-05,5.039491653442383,1.5814707279205322
bbob_f001_i01_d02,2,3,oblesa_ess,pso,79.48,79.48000009092326,53,9.092325115034328e-08,5.039491653442383,0.06302762031555176
bbob_f001_i01_d02,2,3,oblesa_ess,gwo,79.48,79.48000008669952,62,8.669951512274565e-08,5.039491653442383,0.1854410171508789
bbob_f001_i01_d02,2,3,oblesa_ess,egwo,79.48,79.4800000769306,15,7.693058989843848e-08,5.039491653442383,0.013999462127685547
bbob_f001_i01_d02,2,3,oblesa_lhs,ga,79.48,79.48247816178153,1000,0.0024781617815250456,0.293379545211792,3.493009090423584
bbob_f001_i01_d02,2,3,oblesa_lhs,de,79.48,79.48001718632072,1000,1.7186320718565185e-05,0.293379545211792,1.7463767528533936
bbob_f001_i01_d02,2,3,oblesa_lhs,pso,79.48,79.4800000828313,46,8.283129204755824e-08,0.293379545211792,0.058689117431640625
bbob_f001_i01_d02,2,3,oblesa_lhs,gwo,79.48,79.48000004795749,127,4.7957485094229924e-08,0.293379545211792,0.37426209449768066
bbob_f001_i01_d02,2,3,oblesa_lhs,egwo,79.48,79.48000002834065,14,2.8340650715108495e-08,0.293379545211792,0.01914525032043457
bbob_f001_i01_d02,2,3,oblesa_sobol,ga,79.48,79.48221026529673,1000,0.002210265296724856,0.007999181747436523,4.009365558624268
bbob_f001_i01_d02,2,3,oblesa_sobol,de,79.48,79.48000440592854,1000,4.405928535788917e-06,0.007999181747436523,1.7150416374206543
bbob_f001_i01_d02,2,3,oblesa_sobol,pso,79.48,79.48000003139887,48,3.139886928238411e-08,0.007999181747436523,0.050345659255981445
bbob_f001_i01_d02,2,3,oblesa_sobol,gwo,79.48,79.48000009914483,201,9.914482745898567e-08,0.007999181747436523,0.5228407382965088
bbob_f001_i01_d02,2,3,oblesa_sobol,egwo,79.48,79.48000001105767,19,1.1057665005864692e-08,0.007999181747436523,0.014040470123291016
bbob_f001_i01_d02,2,3,oblesa_sobol,ga,79.48,79.48221026529673,1000,0.002210265296724856,0.015971899032592773,2.272052526473999
bbob_f001_i01_d02,2,3,oblesa_sobol,de,79.48,79.48001706857107,1000,1.7068571068534766e-05,0.015971899032592773,0.6795721054077148
bbob_f001_i01_d02,2,3,oblesa_sobol,pso,79.48,79.48000003139887,48,3.139886928238411e-08,0.015971899032592773,0.024153470993041992
bbob_f001_i01_d02,2,3,oblesa_sobol,gwo,79.48,79.48000009914483,201,9.914482745898567e-08,0.015971899032592773,0.23458027839660645
bbob_f001_i01_d02,2,3,oblesa_sobol,egwo,79.48,79.48000001105767,19,1.1057665005864692e-08,0.015971899032592773,0.009169816970825195
bbob_f002_i01_d02,2,3,random,ga,-209.88,1176752.5352962632,1000,1176962.415296263,0.0019998550415039062,1.5264840126037598
bbob_f002_i01_d02,2,3,random,de,-209.88,1176752.5352962632,1000,1176962.415296263,0.0019998550415039062,0.678903341293335
bbob_f002_i01_d02,2,3,random,pso,-209.88,-207.87376236987367,1000,2.0062376301263214,0.0019998550415039062,0.5217838287353516
bbob_f002_i01_d02,2,3,random,gwo,-209.88,-209.87998305447374,1000,1.6945526255085497e-05,0.0019998550415039062,1.1840546131134033
bbob_f002_i01_d02,2,3,random,egwo,-209.88,-209.87999995361145,162,4.638854989025276e-08,0.0019998550415039062,0.08377861976623535
bbob_f002_i01_d02,2,3,lhs,ga,-209.88,-209.48761962551055,1000,0.3923803744894485,0.12450671195983887,1.5497784614562988
bbob_f002_i01_d02,2,3,lhs,de,-209.88,-195.76663279065627,1000,14.113367209343721,0.12450671195983887,0.7057409286499023
bbob_f002_i01_d02,2,3,lhs,pso,-209.88,-205.1810617510539,1000,4.698938248946092,0.12450671195983887,0.5230066776275635
bbob_f002_i01_d02,2,3,lhs,gwo,-209.88,-209.8327712548109,1000,0.04722874518910203,0.12450671195983887,1.1922616958618164
bbob_f002_i01_d02,2,3,lhs,egwo,-209.88,-209.87999995524237,31,4.475762693800789e-08,0.12450671195983887,0.017225265502929688
bbob_f002_i01_d02,2,3,sobol,ga,-209.88,-208.6394853545552,1000,1.2405146454447902,0.0,1.5520477294921875
bbob_f002_i01_d02,2,3,sobol,de,-209.88,-209.67894307130797,1000,0.20105692869202585,0.0,0.7085006237030029
